"","Data","Dep. var","Indep. var","Value","SE","df","t-rat./val.","p-val.","Sig."
"1","Solo flights with artificial mass loadings","speed","0g - 10g","0.2448","0.317","63","0.772","0.7214","NS"
"2","Solo flights with artificial mass loadings","speed","0g - 5g","0.1133","0.2979","63","0.3801","0.9235","NS"
"3","Solo flights with artificial mass loadings","speed","10g - 5g","-0.1315","0.3091","63","-0.4254","0.9052","NS"
"4","Solo flights with artificial mass loadings","ff","0g - 10g","-0.1815","0.0884","63","-2.0534","0.108","NS"
"5","Solo flights with artificial mass loadings","ff","0g - 5g","-0.1037","0.0829","63","-1.2503","0.4285","NS"
"6","Solo flights with artificial mass loadings","ff","10g - 5g","0.0778","0.0861","63","0.903","0.6404","NS"
"7","Solo flights with artificial mass loadings","amp","0g - 10g","1.7182","0.361","63","4.7597","<0.001","***"
"8","Solo flights with artificial mass loadings","amp","0g - 5g","1.3455","0.3625","63","3.712","0.0013","**"
"9","Solo flights with artificial mass loadings","amp","10g - 5g","-0.3726","0.3503","63","-1.0637","0.54","NS"
"10","Solo flights with artificial mass loadings","speed","support.wind","0.3754","0.1401","63","2.6795","0.0094","**"
"11","Solo flights with artificial mass loadings","speed","cross.wind","-0.4624","0.1347","63","-3.4318","0.0011","**"
"12","Solo flights with artificial mass loadings","speed","Exp. cond., as num.","-0.0241","0.0315","64","-0.766","0.4465","NS"
"13","Solo flights with artificial mass loadings","ff","Exp. cond., as num.","0.0182","0.0088","64","2.0672","0.0428","*"
"14","Solo flights with artificial mass loadings","amp","Exp. cond., as num.","-0.1696","0.0362","64","-4.6827","<0.001","***"
"15","Group leadership composition","speed","fol - lead","-1.1883","0.1952","28","-6.0871","<0.001","***"
"16","Group leadership composition","ff","fol - lead","-0.12","0.1249","27","-0.9607","0.3452","NS"
"17","Group leadership composition","amp","fol - lead","0.1289","0.6059","27","0.2127","0.8332","NS"
"18","Group leadership composition","speed","support.wind","0.2732","0.0487","231","5.607","<0.001","***"
"19","Group leadership composition","speed","cross.wind","-0.1435","0.051","231","-2.8118","0.0053","**"
"20","Group mass composition","speed","0 - 0.33","1.6868","0.7537","134","2.2381","0.1183","NS"
"21","Group mass composition","speed","0 - 0.67","2.5045","0.7621","134","3.2865","0.007","**"
"22","Group mass composition","speed","0 - 1","-0.8001","0.63","134","-1.27","0.5836","NS"
"23","Group mass composition","speed","0.33 - 0.67","0.8177","0.7856","134","1.0408","0.7258","NS"
"24","Group mass composition","speed","0.33 - 1","-2.4869","0.7444","134","-3.3407","0.0059","**"
"25","Group mass composition","speed","0.67 - 1","-3.3045","0.7506","134","-4.4023","1e-04","***"
"26","Group mass composition","ff","0 - 0.33","0.0291","0.0754","161","0.3854","0.9805","NS"
"27","Group mass composition","ff","0 - 0.67","0.3691","0.1569","161","2.3525","0.0907","NS"
"28","Group mass composition","ff","0 - 1","0.3021","0.1525","161","1.9809","0.1995","NS"
"29","Group mass composition","ff","0.33 - 0.67","0.34","0.1544","161","2.2016","0.1272","NS"
"30","Group mass composition","ff","0.33 - 1","0.273","0.1549","161","1.7629","0.2951","NS"
"31","Group mass composition","ff","0.67 - 1","-0.067","0.0765","161","-0.8751","0.8177","NS"
"32","Group mass composition","amp","0 - 0.33","0.2793","0.32","161","0.8728","0.8189","NS"
"33","Group mass composition","amp","0 - 0.67","-0.1252","0.9951","161","-0.1258","0.9993","NS"
"34","Group mass composition","amp","0 - 1","-0.1369","0.9827","161","-0.1393","0.999","NS"
"35","Group mass composition","amp","0.33 - 0.67","-0.4044","0.9882","161","-0.4093","0.9768","NS"
"36","Group mass composition","amp","0.33 - 1","-0.4162","0.9894","161","-0.4207","0.9749","NS"
"37","Group mass composition","amp","0.67 - 1","-0.0118","0.3247","161","-0.0362","1","NS"
"38","Group mass composition","speed","support.wind","0.0742","0.0907","134","0.8181","0.4148","NS"
"39","Group mass composition","speed","cross.wind","-0.6024","0.1618","134","-3.7229","3e-04","***"
"40","Group mass composition","speed","Exp. cond., as num.","0.6473","0.6474","136","0.9997","0.3192","NS"
"41","Group mass composition","ff","Exp. cond., as num.","-0.1002","0.1272","163","-0.788","0.4318","NS"
"42","Group mass composition","amp","Exp. cond., as num.","-0.2641","0.581","163","-0.4545","0.6501","NS"
